Date,2024-06-29,2024-03-30,2023-12-30,2023-09-30,2023-07-01,2023-04-01,2022-12-31,2022-09-24,2022-06-25,2022-03-26,2021-12-25,2021-09-25,2021-06-26,2021-03-27,2020-12-26,2020-09-26,2020-06-27,2020-03-28,2019-12-28,2019-09-28,2019-06-29,2019-03-30,2018-12-29,2018-09-29,2018-06-30,2018-03-31,2017-12-30,2017-09-30,2017-07-01,2017-04-01,2016-12-31,2016-09-24,2016-06-25,2016-03-26,2015-12-26,2015-09-26,2015-06-27,2015-03-28,2014-12-27,2014-09-27,2014-06-28,2014-03-29,2013-12-28,2013-09-28,2013-06-29,2013-03-30,2012-12-29,2012-09-29,2012-06-30,2012-03-31,2011-12-31,2011-09-24,2011-06-25,2011-03-26,2010-12-25,2010-09-25,2010-06-26,2010-03-27,2009-12-26,2009-09-26,2009-06-27,2009-03-28,2008-12-27,2008-09-27,2008-06-28,2008-03-29,2007-12-29,2007-09-29,2007-06-30,2007-03-31,2006-12-30,2006-09-30,2006-07-01,2006-04-01,2005-12-31,2005-09-24,2005-06-25,2005-03-26,2004-12-25,2004-09-25,2004-06-26,2004-03-27,2003-12-27,2003-09-27,2003-06-28,2003-03-29,2002-12-28,2002-09-28,2002-06-29,2002-03-30,2001-12-29,2001-09-29,2001-06-30,2001-03-31,2000-12-30,2000-09-30,2000-07-01,2000-04-01,2000-01-01,1999-09-25,1999-06-26,1999-03-27,1998-12-26,1998-09-25,1998-06-26,1998-03-27,1997-12-26,1997-09-26,1997-06-27,1997-03-28,1996-12-27,1996-09-27,1996-06-28,1996-03-29,1995-12-29,1995-09-29,1995-06-30,1995-03-31,1994-12-30,1994-09-30,1994-07-01,1994-04-01,1993-12-31,1993-09-24,1993-06-25,1992-12-25
EPS (Basic),1.40,1.53,2.19,1.47,1.27,1.53,1.89,1.29,1.20,1.54,2.11,1.25,1.31,1.41,1.70,0.75,0.65,0.64,1.26,0.76,0.55,0.62,1.06,0.73,0.59,0.69,0.98,0.52,0.42,0.53,0.85,0.42,0.36,0.48,0.83,0.50,0.47,0.59,0.77,0.36,0.32,0.42,0.52,0.30,0.27,0.36,0.50,0.31,0.34,0.45,0.50,0.26,0.28,0.23,0.23,0.17,0.13,0.12,0.13,0.10,0.07,0.07,0.09,0.10,0.04,0.04,0.07,0.04,0.03,0.03,0.04,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,-0.01,0.00,-0.05,-0.01,0.00,0.00,-0.05,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,-0.01,0.01
EPS (Diluted),1.40,1.53,2.18,1.46,1.26,1.52,1.88,1.29,1.20,1.52,2.10,1.23,1.30,1.40,1.68,0.74,0.65,0.64,1.25,0.76,0.55,0.62,1.05,0.73,0.59,0.68,0.97,0.52,0.42,0.53,0.84,0.42,0.36,0.48,0.82,0.49,0.46,0.58,0.77,0.36,0.32,0.42,0.52,0.30,0.27,0.36,0.49,0.31,0.33,0.44,0.50,0.25,0.28,0.23,0.23,0.17,0.13,0.12,0.13,0.10,0.07,0.06,0.09,0.10,0.04,0.04,0.06,0.04,0.03,0.03,0.04,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,-0.01,0.00,-0.05,-0.01,0.00,0.00,-0.05,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,-0.01,0.01
EPS Growth,11.11%,0.66%,15.96%,13.18%,5.00%,0.00%,-10.48%,4.88%,-7.69%,8.57%,25.00%,66.22%,100.00%,118.75%,34.40%,-1.99%,19.27%,4.07%,19.62%,3.14%,-6.84%,-9.82%,7.40%,41.31%,40.29%,29.90%,15.83%,22.46%,17.46%,10.53%,2.44%,-14.20%,-23.33%,-18.52%,7.19%,38.87%,44.69%,40.48%,47.97%,19.53%,19.40%,15.28%,4.87%,-4.19%,-19.52%,-18.00%,-0.40%,23.02%,19.78%,91.70%,115.22%,51.81%,122.40%,92.44%,75.57%,67.68%,73.61%,85.94%,47.19%,3.13%,67.44%,56.10%,41.27%,166.67%,30.30%,32.26%,53.66%,63.64%,73.68%,82.35%,78.26%,22.22%,46.15%,41.67%,76.92%,350.00%,333.33%,500.00%,333.33%,100.00%,200.00%,100.00%,,,-50.00%,-50.00%,,,-33.33%,0.00%,,-62.50%,-70.00%,-81.82%,,33.33%,-9.09%,57.14%,12.50%,0.00%,83.33%,133.33%,166.67%,,,,,,,,,-50.00%,,,,-55.56%,-30.00%,400.00%,366.67%,,,-91.67%,,,,
Free Cash Flow Per Share,1.75,1.34,2.42,1.25,1.55,1.62,1.90,1.30,1.29,1.58,2.69,1.03,1.14,1.30,2.08,1.10,0.85,0.66,1.61,0.95,0.53,0.47,1.23,0.86,0.57,0.54,1.25,0.58,0.31,0.46,1.12,0.62,0.36,0.41,1.06,0.44,0.56,0.72,1.30,0.40,0.33,0.49,0.82,0.30,0.23,0.39,0.80,0.21,0.28,0.48,0.62,0.23,0.39,0.22,0.33,0.19,0.16,0.08,0.21,0.11,0.08,0.03,0.14,0.15,0.04,0.04,0.11,0.06,0.04,0.03,0.07,0.04,0.03,-0.01,0.01,0.03,0.02,0.02,0.03,0.02,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.00,0.02,0.01,0.01,0.02,0.01,0.02,0.02,0.01,0.01,0.01,-0.01,0.01,0.01,0.02,0.02,-0.03,0.01,-0.05,-0.01,0.00,0.03,0.02,0.01,-0.01,0.03,-0.03,,0.00
Dividend Per Share,0.25,0.24,0.24,0.24,0.24,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.19,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.16,0.16,0.16,0.16,0.14,0.14,0.14,0.14,0.13,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.11,0.11,0.10,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Dividend Growth,4.17%,4.35%,4.35%,4.35%,4.35%,4.55%,4.55%,4.55%,4.55%,7.32%,7.32%,7.32%,7.32%,6.22%,6.22%,6.22%,6.22%,6.04%,6.04%,6.04%,6.04%,15.19%,15.19%,15.19%,15.19%,11.27%,11.27%,11.27%,11.27%,9.23%,9.23%,9.23%,9.23%,11.11%,11.11%,11.11%,11.11%,7.34%,7.34%,7.34%,7.34%,14.74%,14.74%,14.74%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,,
Gross Margin,46.26%,46.58%,45.87%,45.17%,44.52%,44.26%,42.96%,42.26%,43.26%,43.75%,43.76%,42.20%,43.29%,42.51%,39.78%,38.16%,38.00%,38.36%,38.35%,37.97%,37.59%,37.61%,37.99%,38.29%,38.34%,38.31%,38.41%,37.91%,38.51%,38.93%,38.51%,38.02%,38.02%,39.40%,40.10%,39.90%,39.68%,40.78%,39.87%,38.01%,39.36%,39.32%,37.93%,37.02%,36.87%,37.50%,38.63%,40.04%,42.81%,47.37%,44.68%,40.25%,41.73%,41.42%,38.51%,36.93%,39.08%,41.67%,40.88%,41.82%,40.92%,39.93%,37.94%,37.12%,34.83%,32.93%,34.68%,30.76%,36.88%,35.13%,31.20%,29.19%,30.32%,29.75%,27.20%,28.14%,29.66%,29.85%,28.54%,26.89%,27.76%,27.76%,26.72%,26.59%,27.70%,28.34%,27.58%,26.40%,27.36%,27.36%,30.69%,30.14%,29.42%,26.90%,-2.09%,24.97%,29.75%,28.23%,25.91%,28.74%,27.41%,26.34%,28.19%,26.80%,25.68%,24.84%,22.37%,19.83%,20.03%,18.93%,18.65%,22.02%,18.49%,-19.27%,15.09%,20.68%,28.27%,26.21%,28.74%,27.19%,26.70%,24.03%,23.98%,25.71%,32.55%,40.54%
Operating Margin,29.56%,30.74%,33.76%,30.13%,28.12%,29.86%,30.74%,27.62%,27.82%,30.82%,33.47%,28.53%,29.63%,30.70%,30.09%,22.84%,21.93%,22.04%,27.85%,24.40%,21.45%,23.12%,27.69%,25.62%,23.68%,26.00%,29.76%,24.95%,23.71%,26.65%,29.81%,25.10%,23.86%,27.67%,31.86%,28.39%,28.39%,31.51%,32.50%,26.51%,27.47%,29.78%,30.32%,26.77%,26.05%,28.80%,31.57%,30.43%,33.04%,39.26%,37.42%,30.81%,32.83%,31.92%,29.27%,26.78%,26.97%,29.48%,30.13%,30.18%,27.04%,25.57%,26.10%,27.07%,18.65%,17.51%,22.13%,15.58%,19.24%,18.73%,18.58%,12.57%,12.95%,12.14%,13.05%,11.34%,12.10%,12.40%,11.55%,4.89%,3.57%,2.72%,3.69%,1.81%,0.58%,-0.27%,-2.51%,-1.39%,0.91%,1.87%,-0.29%,3.66%,2.10%,-0.56%,-41.71%,4.49%,9.21%,8.74%,4.27%,3.67%,6.68%,5.16%,7.43%,7.01%,4.35%,3.63%,2.53%,-10.53%,-3.45%,-44.72%,-5.82%,1.46%,-5.32%,-54.10%,-3.78%,2.40%,6.29%,6.26%,10.03%,7.62%,10.84%,1.69%,2.63%,0.32%,-16.47%,12.04%
Profit Margin,25.00%,26.04%,28.36%,25.65%,24.31%,25.48%,25.61%,22.99%,23.44%,25.71%,27.94%,24.65%,26.70%,26.38%,25.80%,19.59%,18.85%,19.29%,24.22%,21.37%,18.67%,19.93%,23.68%,22.46%,21.63%,22.61%,22.73%,20.38%,19.20%,20.85%,22.83%,19.24%,18.41%,20.80%,24.20%,21.60%,21.52%,23.39%,24.16%,20.10%,20.70%,22.40%,22.70%,20.05%,19.53%,21.90%,23.99%,22.86%,25.19%,29.66%,28.20%,23.43%,25.58%,24.27%,22.45%,21.18%,20.72%,22.77%,21.54%,20.74%,18.78%,17.83%,18.98%,18.76%,14.36%,13.91%,16.46%,13.30%,15.12%,14.63%,14.11%,11.21%,10.80%,9.41%,9.83%,11.64%,9.06%,8.94%,8.45%,4.09%,3.03%,2.41%,3.14%,2.57%,1.23%,0.95%,-0.54%,-3.12%,2.24%,2.68%,2.76%,4.55%,4.14%,3.00%,-19.36%,9.09%,10.96%,11.98%,7.81%,8.31%,13.03%,8.82%,8.89%,6.81%,7.20%,3.91%,2.98%,-9.98%,-3.22%,-44.22%,-5.64%,1.08%,-1.47%,-33.87%,-2.19%,2.00%,4.00%,2.75%,6.64%,4.61%,6.42%,0.82%,1.62%,0.14%,-10.11%,8.07%
Free Cash Flow Margin,31.14%,22.80%,31.36%,21.72%,29.69%,27.04%,25.79%,23.12%,25.06%,26.37%,35.63%,20.37%,23.33%,24.24%,31.64%,29.05%,24.64%,19.65%,30.94%,26.75%,17.91%,15.15%,27.68%,26.20%,21.07%,17.89%,28.86%,22.60%,14.08%,18.30%,30.39%,28.41%,18.25%,17.81%,30.92%,19.06%,26.00%,28.62%,40.83%,22.31%,20.90%,26.40%,35.81%,20.29%,16.45%,23.40%,38.47%,15.67%,20.63%,31.82%,34.80%,20.72%,35.51%,22.55%,31.82%,23.94%,26.59%,15.03%,34.43%,21.61%,20.22%,8.16%,30.29%,29.32%,13.63%,13.75%,26.68%,21.96%,17.45%,11.95%,23.49%,18.81%,17.62%,-7.30%,3.50%,17.84%,11.62%,15.20%,20.54%,16.34%,8.59%,1.36%,8.72%,0.87%,-2.46%,3.93%,6.11%,1.25%,-4.76%,-2.74%,0.44%,7.72%,-4.27%,-4.26%,-3.48%,6.58%,12.27%,2.26%,14.30%,15.27%,5.26%,17.65%,12.75%,17.67%,15.91%,10.89%,10.58%,11.34%,-11.57%,5.75%,3.48%,14.26%,12.57%,-17.07%,4.96%,-24.04%,-3.30%,-0.87%,15.22%,8.22%,5.49%,-4.43%,14.01%,-20.87%,,1.73%
Effective Tax Rate,15.87%,15.76%,15.89%,14.97%,12.55%,14.88%,15.79%,15.96%,15.71%,17.02%,16.03%,11.60%,10.77%,15.64%,14.37%,14.95%,14.34%,14.36%,14.21%,15.14%,15.67%,16.18%,16.49%,13.98%,13.29%,14.51%,25.77%,23.02%,22.91%,24.89%,26.01%,26.04%,25.53%,25.64%,25.28%,26.15%,26.23%,26.91%,26.18%,26.19%,26.10%,26.02%,26.18%,25.94%,26.87%,26.02%,26.00%,24.51%,25.60%,25.17%,25.25%,24.66%,23.48%,24.22%,24.60%,21.11%,24.21%,23.70%,29.00%,32.10%,32.10%,32.10%,30.81%,33.38%,29.01%,29.25%,32.03%,26.47%,31.61%,32.10%,30.66%,24.83%,28.59%,32.23%,32.01%,10.27%,32.42%,33.33%,31.24%,28.36%,28.24%,28.13%,27.59%,24.14%,26.92%,26.32%,,,17.95%,27.27%,28.30%,29.79%,29.89%,30.65%,,25.76%,25.93%,26.96%,33.21%,11.20%,11.35%,11.76%,10.06%,7.02%,7.34%,6.78%,,,,,,37.50%,,,,36.84%,37.20%,37.07%,37.12%,37.84%,38.12%,39.29%,38.46%,33.71%,,38.00%
EBITDA,28344000000,30894000000,43171000000,30653000000,25785000000,31280000000,38539000000,28349000000,26590000000,33567000000,44632000000,26909000000,27866000000,31478000000,36883000000,18237000000,16586000000,16678000000,29519000000,20116000000,15710000000,17843000000,28191000000,20043000000,16795000000,19699000000,30509000000,17067000000,14264000000,17546000000,27692000000,15186000000,13404000000,16940000000,27803000000,18419000000,17758000000,21206000000,27122000000,13556000000,12530000000,15790000000,19937000000,12009000000,11182000000,14597000000,19260000000,11874000000,12696000000,16272000000,18198000000,9334000000,10032000000,8334000000,8319000000,5790000000,4565000000,4245000000,4967000000,3932000000,2874000000,2567000000,3427000000,3791000000,1627000000,1593000000,2432000000,1331000000,1277000000,1203000000,1522000000,787000000,718000000,655000000,883000000,528000000,518000000,476000000,470000000,174000000,126000000,100000000,120000000,87000000,50000000,48000000,21000000,-31000000,67000000,84000000,81000000,122000000,113000000,84000000,-259000000,247000000,295000000,340000000,294000000,144000000,248000000,177000000,192000000,137000000,141000000,87000000,75000000,-120000000,-34000000,-678000000,-95000000,46000000,-29000000,-1129000000,-67000000,118000000,201000000,145000000,337000000,231000000,264000000,66000000,108000000,47003000,,299628000
EBITDA Margin,33.04%,34.04%,36.10%,34.25%,31.52%,32.98%,32.90%,31.45%,32.05%,34.51%,36.01%,32.28%,34.22%,35.14%,33.10%,28.19%,27.79%,28.60%,32.15%,31.41%,29.20%,30.76%,33.44%,31.86%,31.53%,32.22%,34.55%,32.46%,31.41%,33.17%,35.34%,32.41%,31.64%,33.51%,36.64%,35.76%,35.80%,36.56%,36.36%,32.18%,33.47%,34.59%,34.62%,32.05%,31.66%,33.48%,35.33%,33.01%,36.25%,41.53%,39.28%,33.02%,35.11%,33.79%,31.11%,28.46%,29.08%,31.45%,31.67%,32.21%,29.53%,28.26%,28.85%,29.37%,21.80%,21.21%,25.31%,19.61%,23.60%,22.85%,21.39%,16.27%,16.43%,15.03%,15.36%,14.36%,14.72%,14.68%,13.47%,7.40%,6.26%,5.24%,5.98%,5.07%,3.24%,3.25%,1.43%,-2.15%,4.69%,5.62%,5.89%,8.41%,7.66%,5.87%,-25.72%,13.21%,16.16%,17.48%,12.55%,10.78%,15.92%,11.57%,11.23%,8.80%,10.06%,6.19%,4.75%,-7.43%,-1.96%,-42.35%,-4.46%,1.98%,-1.33%,-51.67%,-2.13%,3.93%,7.81%,5.47%,11.90%,9.26%,12.28%,3.18%,4.37%,2.20%,,14.98%
Depreciation & Amortization,2850000000,2836000000,2848000000,2653000000,3052000000,2898000000,2916000000,2865000000,2805000000,2737000000,2697000000,2989000000,2832000000,2797000000,2666000000,2702000000,2752000000,2786000000,2816000000,3179000000,2933000000,3040000000,3395000000,2754000000,2665000000,2739000000,2745000000,2484000000,2354000000,2332000000,2987000000,2548000000,2526000000,2477000000,2954000000,3119000000,3084000000,2479000000,2575000000,1969000000,1946000000,1887000000,2144000000,1783000000,1694000000,1692000000,1588000000,981000000,835000000,740000000,721000000,543000000,481000000,434000000,356000000,329000000,273000000,216000000,209000000,203000000,182000000,181000000,168000000,157000000,117000000,116000000,106000000,103000000,81000000,69000000,74000000,66000000,57000000,50000000,52000000,51000000,46000000,41000000,41000000,40000000,41000000,36000000,33000000,29000000,24000000,29000000,31000000,29000000,28000000,29000000,28000000,28000000,26000000,22000000,24000000,18000000,25000000,21000000,20000000,19000000,19000000,24000000,23000000,23000000,32000000,28000000,28000000,41000000,22000000,30000000,25000000,6000000,22000000,46000000,42000000,23000000,37000000,29000000,38000000,46000000,41000000,38000000,43000000,42364000,,39401000
EBIT,25494000000,28058000000,40323000000,28000000000,22733000000,28382000000,35623000000,25484000000,23785000000,30830000000,41935000000,23920000000,25034000000,28681000000,34217000000,15535000000,13834000000,13892000000,26703000000,16937000000,12777000000,14803000000,24796000000,17289000000,14130000000,16960000000,27764000000,14583000000,11910000000,15214000000,24705000000,12638000000,10878000000,14463000000,24849000000,15300000000,14674000000,18727000000,24547000000,11587000000,10584000000,13903000000,17793000000,10226000000,9488000000,12905000000,17672000000,10893000000,11861000000,15532000000,17477000000,8791000000,9551000000,7900000000,7963000000,5461000000,4292000000,4029000000,4758000000,3729000000,2692000000,2386000000,3259000000,3634000000,1510000000,1477000000,2326000000,1228000000,1196000000,1134000000,1448000000,721000000,661000000,605000000,831000000,477000000,472000000,435000000,429000000,134000000,85000000,64000000,87000000,58000000,26000000,19000000,-10000000,-60000000,39000000,55000000,53000000,94000000,87000000,62000000,-283000000,229000000,270000000,319000000,274000000,125000000,229000000,153000000,169000000,114000000,109000000,59000000,47000000,-161000000,-56000000,-708000000,-120000000,40000000,-51000000,-1175000000,-109000000,95000000,164000000,116000000,299000000,185000000,223000000,28000000,65000000,4639000,-303735000,260227000
EBIT Margin,29.72%,30.92%,33.72%,31.29%,27.79%,29.93%,30.41%,28.27%,28.67%,31.69%,33.83%,28.69%,30.74%,32.02%,30.70%,24.01%,23.18%,23.82%,29.08%,26.45%,23.75%,25.52%,29.41%,27.49%,26.53%,27.74%,31.45%,27.74%,26.23%,28.76%,31.53%,26.97%,25.68%,28.61%,32.75%,29.71%,29.58%,32.28%,32.91%,27.51%,28.28%,30.46%,30.89%,27.29%,26.86%,29.60%,32.42%,30.29%,33.87%,39.64%,37.72%,31.10%,33.43%,32.03%,29.78%,26.84%,27.34%,29.85%,30.34%,30.55%,27.66%,26.27%,27.43%,28.16%,20.23%,19.66%,24.21%,18.09%,22.11%,21.54%,20.35%,14.91%,15.13%,13.88%,14.45%,12.97%,13.41%,13.41%,12.29%,5.70%,4.22%,3.35%,4.34%,3.38%,1.68%,1.29%,-0.68%,-4.16%,2.73%,3.68%,3.85%,6.48%,5.90%,4.33%,-28.10%,12.25%,14.79%,16.40%,11.69%,9.36%,14.70%,10.00%,9.88%,7.33%,7.77%,4.20%,2.98%,-9.98%,-3.22%,-44.22%,-5.64%,1.72%,-2.34%,-53.78%,-3.46%,3.16%,6.37%,4.37%,10.56%,7.42%,10.37%,1.35%,2.63%,0.22%,-16.31%,13.01%
