Date,2024-06-29,2024-03-30,2023-12-30,2023-09-30,2023-07-01,2023-04-01,2022-12-31,2022-09-24,2022-06-25,2022-03-26,2021-12-25,2021-09-25,2021-06-26,2021-03-27,2020-12-26,2020-09-26,2020-06-27,2020-03-28,2019-12-28,2019-09-28,2019-06-29,2019-03-30,2018-12-29,2018-09-29,2018-06-30,2018-03-31,2017-12-30,2017-09-30,2017-07-01,2017-04-01,2016-12-31,2016-09-24,2016-06-25,2016-03-26,2015-12-26,2015-09-26,2015-06-27,2015-03-28,2014-12-27,2014-09-27,2014-06-28,2014-03-29,2013-12-28,2013-09-28,2013-06-29,2013-03-30,2012-12-29,2012-09-29,2012-06-30,2012-03-31,2011-12-31,2011-09-24,2011-06-25,2011-03-26,2010-12-25,2010-09-25,2010-06-26,2010-03-27,2009-12-26,2009-09-26,2009-06-27,2009-03-28,2008-12-27,2008-09-27,2008-06-28,2008-03-29,2007-12-29,2007-09-29,2007-06-30,2007-03-31,2006-12-30,2006-09-30,2006-07-01,2006-04-01,2005-12-31,2005-09-24,2005-06-25,2005-03-26,2004-12-25,2004-09-25,2004-06-26,2004-03-27,2003-12-27,2003-09-27,2003-06-28,2003-03-29,2002-12-28,2002-09-28,2002-06-29,2002-03-30,2001-12-29,2001-09-29,2001-06-30,2001-03-31,2000-12-30,2000-09-30,2000-07-01,2000-04-01,2000-01-01,1999-09-25,1999-06-26,1999-03-27,1998-12-26,1998-09-25,1998-06-26,1998-03-27,1997-12-26,1997-09-26,1997-06-27,1997-03-28,1996-12-27,1996-09-27,1996-06-28,1996-03-29,1995-12-29,1995-09-29,1995-06-30,1995-03-31,1994-12-30,1994-09-30,1994-07-01,1994-04-01,1993-12-31,1993-09-24,1993-06-25,1992-12-25
Goodwill and Intangibles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8038000000,0,8105000000,8090000000,8271000000,8620000000,8767000000,9092000000,9126000000,9009000000,8823000000,8772000000,8999000000,8758000000,6141000000,5983000000,6127000000,5756000000,5875000000,5536000000,5843000000,5359000000,5461000000,4745000000,4368000000,4432000000,1910000000,1248000000,1263000000,1083000000,1032000000,743000000,494000000,453000000,466000000,475000000,484000000,492000000,329000000,338000000,349000000,337000000,275000000,278000000,184000000,177000000,75000000,110000000,93000000,96000000,109000000,113000000,96000000,97000000,99000000,106000000,107000000,109000000,112000000,114000000,116000000,119000000,99000000,81000000,75000000,76000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,
Other Long-Term Assets,70435000000,70262000000,66681000000,64758000000,64768000000,65388000000,60924000000,54428000000,52605000000,51959000000,50109000000,48849000000,44854000000,43339000000,43270000000,42522000000,41000000000,41965000000,40457000000,32978000000,33634000000,34587000000,34686000000,22283000000,22546000000,23086000000,13323000000,18177000000,10150000000,7549000000,7390000000,8757000000,7862000000,7745000000,7974000000,5422000000,4081000000,3937000000,3608000000,3764000000,4160000000,5106000000,5091000000,5146000000,5421000000,5294000000,5183000000,5478000000,5438000000,4992000000,4281000000,3556000000,3440000000,3885000000,2954000000,2263000000,2119000000,1925000000,1961000000,2011000000,2952000000,2498000000,2062000000,839000000,1205000000,1435000000,1631000000,1222000000,1001000000,995000000,1251000000,1238000000,1351000000,1510000000,1071000000,303000000,239000000,249000000,209000000,191000000,154000000,158000000,151000000,150000000,144000000,160000000,136000000,170000000,114000000,103000000,101000000,110000000,330000000,303000000,288000000,171000000,225000000,237000000,219000000,219000000,408000000,513000000,381000000,243000000,301000000,335000000,324000000,323000000,308000000,289000000,260000000,251000000,276000000,265000000,290000000,296000000,230000000,226000000,154000000,160000000,198441000,,192097000,173511000,,
Total Long-Term Assets,206177000000,208995000000,209822000000,209017000000,212379000000,219247000000,217970000000,217350000000,224017000000,232482000000,228037000000,216166000000,215417000000,215693000000,199948000000,180175000000,177279000000,176647000000,177387000000,175697000000,187266000000,218652000000,232891000000,234386000000,233436000000,237449000000,262984000000,246674000000,232298000000,232542000000,227809000000,214817000000,211841000000,217685000000,217065000000,200967000000,202198000000,193303000000,178491000000,163308000000,154571000000,135448000000,144837000000,133714000000,131637000000,131406000000,123740000000,118411000000,110953000000,100222000000,83910000000,71383000000,59860000000,47907000000,42815000000,33505000000,28692000000,24721000000,20594000000,15946000000,12970000000,9384000000,7624000000,6165000000,3711000000,3735000000,3850000000,3391000000,2902000000,2682000000,2797000000,2696000000,2623000000,2625000000,2019000000,1216000000,1112000000,1104000000,1040000000,995000000,937000000,951000000,942000000,928000000,895000000,893000000,885000000,910000000,850000000,850000000,850000000,878000000,823000000,785000000,1060000000,1376000000,1775000000,2095000000,2677000000,876000000,721000000,843000000,725000000,591000000,666000000,750000000,753000000,809000000,848000000,845000000,853000000,849000000,891000000,957000000,1002000000,1007000000,921000000,889000000,815000000,827000000,863423000,,834433000,833057000,,
Total Assets,331612000000,337411000000,353514000000,352583000000,335038000000,332160000000,346747000000,352755000000,336309000000,350662000000,381191000000,351002000000,329840000000,337158000000,354054000000,323888000000,317344000000,320400000000,340618000000,338516000000,322239000000,341998000000,373719000000,365725000000,349197000000,367502000000,406794000000,375319000000,345173000000,334532000000,331141000000,321686000000,305602000000,305277000000,293284000000,290345000000,273151000000,261194000000,261894000000,231839000000,222520000000,205989000000,225184000000,207000000000,199856000000,194743000000,196088000000,176064000000,162896000000,150934000000,138681000000,116371000000,106758000000,94904000000,86742000000,75183000000,64725000000,57057000000,53926000000,47501000000,48140000000,43237000000,42787000000,36171000000,31709000000,30471000000,30039000000,25347000000,21647000000,18711000000,19461000000,17205000000,15114000000,13911000000,14181000000,11516000000,10488000000,10111000000,9362000000,8050000000,7223000000,6735000000,6971000000,6815000000,6441000000,6361000000,6269000000,6298000000,6293000000,6264000000,6122000000,6021000000,6071000000,6130000000,5986000000,6803000000,6932000000,7007000000,7586000000,5161000000,5019000000,4935000000,4592000000,4289000000,4041000000,3963000000,4126000000,4233000000,4341000000,4487000000,5272000000,5364000000,5345000000,5234000000,6553000000,6231000000,6112000000,6050000000,5533000000,5303000000,5123412000,,5042440000,5171412000,,
Accounts Payable,47574000000,45753000000,58146000000,62611000000,46699000000,42945000000,57918000000,64115000000,48343000000,52682000000,74362000000,54763000000,40409000000,40127000000,63846000000,42296000000,35325000000,32421000000,45111000000,46236000000,29115000000,30443000000,44293000000,55888000000,38489000000,34311000000,62985000000,44242000000,31915000000,28573000000,38510000000,37294000000,26318000000,25098000000,33312000000,35490000000,26474000000,23159000000,38001000000,30196000000,20535000000,18914000000,29588000000,22367000000,15516000000,14912000000,26398000000,21175000000,16808000000,17011000000,18221000000,14632000000,15270000000,13714000000,14301000000,12015000000,8469000000,5666000000,6511000000,5601000000,4854000000,3976000000,4715000000,5520000000,3683000000,4154000000,5366000000,4970000000,3660000000,2403000000,3885000000,3390000000,2513000000,2108000000,2896000000,1779000000,1530000000,1773000000,1737000000,1451000000,1061000000,991000000,1085000000,1154000000,880000000,921000000,817000000,911000000,904000000,987000000,830000000,801000000,847000000,961000000,637000000,1157000000,1040000000,1111000000,1174000000,812000000,792000000,791000000,655000000,719000000,573000000,523000000,655000000,685000000,812000000,840000000,820000000,791000000,762000000,817000000,1431000000,1165000000,1048000000,854000000,956000000,882000000,696032000,,739599000,742622000,,
Deferred Revenue,8053000000,8012000000,8264000000,8061000000,8158000000,8131000000,7992000000,7912000000,7728000000,7920000000,7876000000,7612000000,7681000000,7595000000,7395000000,6643000000,6313000000,5928000000,5573000000,5522000000,5434000000,5532000000,5546000000,5966000000,10281000000,10862000000,11175000000,10384000000,10592000000,10789000000,11052000000,11010000000,11416000000,12783000000,12535000000,12564000000,12562000000,12515000000,12467000000,11522000000,11454000000,11474000000,11428000000,10060000000,10005000000,10142000000,10212000000,8601000000,8352000000,7693000000,7073000000,5777000000,5399000000,4821000000,4757000000,4123000000,3712000000,3483000000,3512000000,2906000000,12136000000,10474000000,9675000000,2385000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,
Current Debt,15108000000,12759000000,12952000000,15807000000,11209000000,12574000000,11483000000,21110000000,24991000000,16658000000,16169000000,15613000000,16039000000,13003000000,12762000000,13769000000,18675000000,20421000000,15214000000,16240000000,23482000000,22429000000,21741000000,20748000000,17472000000,20478000000,18478000000,18473000000,18475000000,13991000000,13992000000,11605000000,15996000000,10498000000,9759000000,10999000000,6999000000,3799000000,3899000000,6308000000,2010000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302000000,304000000,307000000,310000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23000000,24000000,25000000,127000000,133000000,180000000,186000000,187000000,352000000,498000000,461000000,406000000,627000000,209000000,292000000,515608000,,752257000,823182000,,
Total Current Liabilities,131624000000,123822000000,133973000000,145308000000,124963000000,120075000000,137286000000,153982000000,129873000000,127508000000,147574000000,125481000000,107754000000,106385000000,132507000000,105392000000,95318000000,96094000000,102161000000,105718000000,89704000000,93772000000,108283000000,115929000000,88548000000,89320000000,115788000000,100814000000,81302000000,73342000000,84130000000,79006000000,71486000000,68265000000,76092000000,80610000000,65285000000,58729000000,73611000000,63448000000,46205000000,43208000000,53769000000,43658000000,36319000000,35508000000,46879000000,38542000000,33060000000,32036000000,34607000000,27970000000,26859000000,24327000000,23795000000,20722000000,15612000000,12229000000,13097000000,11506000000,16661000000,13751000000,14757000000,11361000000,9218000000,9634000000,10535000000,9280000000,6992000000,5485000000,7337000000,6443000000,5023000000,4456000000,5060000000,3487000000,3123000000,3352000000,3224000000,2651000000,2155000000,1980000000,2382000000,2357000000,2025000000,2007000000,1595000000,1658000000,1718000000,1709000000,1579000000,1518000000,1614000000,1795000000,1637000000,1933000000,1873000000,1853000000,1965000000,1549000000,1539000000,1544000000,1484000000,1520000000,1389000000,1384000000,1669000000,1818000000,1910000000,2011000000,2044000000,2003000000,1926000000,2273000000,2705000000,2325000000,2178000000,2243000000,1935000000,1944000000,1917487000,,2328161000,2508085000,,
Other Current Liabilities,60889000000,57298000000,54611000000,58829000000,58897000000,56425000000,59893000000,60845000000,48811000000,50248000000,49167000000,47493000000,43625000000,45660000000,48504000000,42684000000,35005000000,37324000000,36263000000,37720000000,31673000000,35368000000,36703000000,33327000000,22306000000,23669000000,23150000000,27715000000,20320000000,19989000000,20576000000,19097000000,17756000000,19886000000,20486000000,21557000000,19250000000,19256000000,19244000000,15422000000,12206000000,12820000000,12753000000,11231000000,10798000000,10454000000,10269000000,8766000000,7900000000,7332000000,9313000000,7561000000,6190000000,5792000000,4737000000,4584000000,3431000000,3080000000,3074000000,2999000000,-329000000,-699000000,367000000,3456000000,5535000000,5480000000,5169000000,4310000000,3332000000,3082000000,3452000000,3053000000,2510000000,2348000000,2164000000,1708000000,1593000000,1579000000,1487000000,1200000000,1094000000,989000000,995000000,899000000,838000000,776000000,778000000,747000000,814000000,722000000,749000000,717000000,767000000,834000000,1000000000,776000000,833000000,742000000,791000000,737000000,747000000,753000000,829000000,801000000,816000000,838000000,990000000,1108000000,971000000,1038000000,1044000000,1026000000,977000000,1104000000,776000000,699000000,724000000,762000000,770000000,770000000,705847000,,836305000,942281000,,
Long-Term Debt,86196000000,91831000000,95088000000,95281000000,98071000000,97041000000,99627000000,98959000000,94700000000,103323000000,106629000000,109106000000,105752000000,108642000000,99281000000,98667000000,94048000000,89086000000,93078000000,91807000000,84936000000,90201000000,92989000000,93735000000,97128000000,101362000000,103922000000,97207000000,89864000000,84531000000,73557000000,75427000000,68939000000,69374000000,53204000000,53329000000,47419000000,40072000000,32504000000,28987000000,29030000000,16962000000,16961000000,16960000000,16958000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320000000,316000000,316000000,311000000,315000000,317000000,317000000,317000000,311000000,300000000,300000000,300000000,300000000,300000000,300000000,955000000,954000000,954000000,953000000,953000000,952000000,951000000,951000000,952000000,950000000,949000000,949000000,303000000,304000000,303000000,303000000,304000000,304000000,305000000,304815000,,0,7117000,,
