Date,2024-06-29,2024-03-30,2023-12-30,2023-09-30,2023-07-01,2023-04-01,2022-12-31,2022-09-24,2022-06-25,2022-03-26,2021-12-25,2021-09-25,2021-06-26,2021-03-27,2020-12-26,2020-09-26,2020-06-27,2020-03-28,2019-12-28,2019-09-28,2019-06-29,2019-03-30,2018-12-29,2018-09-29,2018-06-30,2018-03-31,2017-12-30,2017-09-30,2017-07-01,2017-04-01,2016-12-31,2016-09-24,2016-06-25,2016-03-26,2015-12-26,2015-09-26,2015-06-27,2015-03-28,2014-12-27,2014-09-27,2014-06-28,2014-03-29,2013-12-28,2013-09-28,2013-06-29,2013-03-30,2012-12-29,2012-09-29,2012-06-30,2012-03-31,2011-12-31,2011-09-24,2011-06-25,2011-03-26,2010-12-25,2010-09-25,2010-06-26,2010-03-27,2009-12-26,2009-09-26,2009-06-27,2009-03-28,2008-12-27,2008-09-27,2008-06-28,2008-03-29,2007-12-29,2007-09-29,2007-06-30,2007-03-31,2006-12-30,2006-09-30,2006-07-01,2006-04-01,2005-12-31,2005-09-24,2005-06-25,2005-03-26,2004-12-25,2004-09-25,2004-06-26,2004-03-27,2003-12-27,2003-09-27,2003-06-28,2003-03-29,2002-12-28,2002-09-28,2002-06-29,2002-03-30,2001-12-29,2001-09-29,2001-06-30,2001-03-31,2000-12-30,2000-09-30,2000-07-01,2000-04-01,2000-01-01,1999-09-25,1999-06-26,1999-03-27,1998-12-26,1998-09-25,1998-06-26,1998-03-27,1997-12-26,1997-09-26,1997-06-27,1997-03-28,1996-12-27,1996-09-27,1996-06-28,1996-03-29,1995-12-29,1995-09-29,1995-06-30,1995-03-31,1994-12-30,1994-09-30,1994-07-01,1994-04-01,1993-12-31,1993-09-24,1993-06-25,1992-12-25
Total Long-Term Liabilities,133280000000,139395000000,145441000000,145129000000,149801000000,149927000000,152734000000,148101000000,148329000000,155755000000,161685000000,162431000000,157806000000,161595000000,155323000000,153157000000,149744000000,145881000000,148926000000,142310000000,136079000000,142366000000,147544000000,142649000000,145700000000,151304000000,150807000000,140458000000,131446000000,127108000000,114621000000,114431000000,107575000000,106555000000,88925000000,90380000000,82189000000,73459000000,64955000000,56844000000,55375000000,42602000000,41731000000,39793000000,40183000000,23745000000,21863000000,19312000000,18090000000,16400000000,14020000000,11786000000,10556000000,9100000000,8281000000,6670000000,6002000000,5480000000,5061000000,4355000000,5591000000,5175000000,5121000000,2513000000,2869000000,2784000000,2700000000,1535000000,1251000000,965000000,896000000,778000000,761000000,773000000,741000000,601000000,544000000,373000000,348000000,323000000,256000000,265000000,259000000,235000000,218000000,215000000,558000000,545000000,509000000,541000000,577000000,583000000,599000000,597000000,637000000,763000000,883000000,939000000,1207000000,508000000,510000000,1216000000,1185000000,1127000000,1166000000,1191000000,1213000000,1215000000,-6248000000,1234000000,1286000000,1303000000,1399000000,905000000,1054000000,1005000000,1106000000,1093000000,1036000000,976000000,960810000,,661020000,636949000,,
Other Long-Term Liabilities,47084000000,47564000000,50353000000,49848000000,51730000000,52886000000,53107000000,49142000000,53629000000,52432000000,55056000000,53325000000,52054000000,52953000000,56042000000,54490000000,55696000000,56795000000,55848000000,50503000000,51143000000,52165000000,54555000000,48914000000,48572000000,49942000000,46885000000,43251000000,41582000000,42577000000,41064000000,39004000000,38636000000,37181000000,35721000000,37051000000,34770000000,33387000000,32451000000,27857000000,26345000000,25640000000,24770000000,22833000000,23225000000,23745000000,21863000000,19312000000,18090000000,16400000000,14020000000,11786000000,10556000000,9100000000,8281000000,6670000000,6002000000,5480000000,5061000000,4355000000,5591000000,5175000000,5121000000,2513000000,2869000000,2784000000,2700000000,1535000000,1251000000,965000000,896000000,778000000,761000000,773000000,741000000,601000000,544000000,373000000,348000000,323000000,256000000,265000000,259000000,235000000,218000000,215000000,238000000,229000000,193000000,230000000,262000000,266000000,282000000,280000000,326000000,463000000,583000000,639000000,907000000,208000000,210000000,261000000,231000000,173000000,213000000,238000000,261000000,264000000,-7199000000,282000000,336000000,354000000,450000000,602000000,750000000,702000000,803000000,789000000,732000000,671000000,655995000,,661020000,629832000,,
Total Liabilities,264904000000,263217000000,279414000000,290437000000,274764000000,270002000000,290020000000,302083000000,278202000000,283263000000,309259000000,287912000000,265560000000,267980000000,287830000000,258549000000,245062000000,241975000000,251087000000,248028000000,225783000000,236138000000,255827000000,258578000000,234248000000,240624000000,266595000000,241272000000,212748000000,200450000000,198751000000,193437000000,179061000000,174820000000,165017000000,170990000000,147474000000,132188000000,138566000000,120292000000,101580000000,85810000000,95500000000,83451000000,76502000000,59253000000,68742000000,57854000000,51150000000,48436000000,48627000000,39756000000,37415000000,33427000000,32076000000,27392000000,21614000000,17709000000,18158000000,15861000000,22252000000,18926000000,19878000000,13874000000,12087000000,12418000000,13235000000,10815000000,8243000000,6450000000,8233000000,7221000000,5784000000,5229000000,5801000000,4088000000,3667000000,3725000000,3572000000,2974000000,2411000000,2245000000,2641000000,2592000000,2243000000,2222000000,2153000000,2203000000,2227000000,2250000000,2156000000,2101000000,2213000000,2392000000,2274000000,2696000000,2756000000,2792000000,3172000000,2057000000,2049000000,2760000000,2669000000,2647000000,2555000000,2575000000,2882000000,3033000000,-4338000000,3245000000,3330000000,3306000000,3325000000,3178000000,3759000000,3330000000,3284000000,3336000000,2971000000,2920000000,2878297000,,2989181000,3145034000,,
Total Debt,101304000000,104590000000,108040000000,111088000000,109280000000,109615000000,111110000000,120069000000,119691000000,119981000000,122798000000,124719000000,121791000000,121645000000,112043000000,112436000000,112723000000,109507000000,108292000000,108047000000,108418000000,112630000000,114730000000,114483000000,114600000000,121840000000,122400000000,115680000000,108339000000,98522000000,87549000000,87032000000,84935000000,79872000000,62963000000,64328000000,54418000000,43871000000,36403000000,35295000000,31040000000,16962000000,16961000000,16960000000,16958000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302000000,304000000,307000000,310000000,320000000,316000000,316000000,311000000,315000000,317000000,317000000,317000000,311000000,300000000,300000000,300000000,300000000,300000000,300000000,955000000,954000000,954000000,953000000,976000000,976000000,976000000,1078000000,1085000000,1130000000,1135000000,1136000000,655000000,802000000,764000000,709000000,931000000,513000000,597000000,820423000,,752257000,830299000,,
Debt Growth,-7.30%,-4.58%,-2.76%,-7.48%,-8.70%,-8.64%,-9.52%,-3.73%,-1.72%,-1.37%,9.60%,10.92%,8.04%,11.08%,3.46%,4.06%,3.97%,-2.77%,-5.61%,-5.62%,-5.39%,-7.56%,-6.27%,-1.03%,5.78%,23.67%,39.81%,32.92%,27.56%,23.35%,39.05%,35.29%,56.08%,82.06%,72.96%,82.26%,75.32%,158.64%,114.63%,108.11%,83.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.63%,-3.80%,-2.85%,-0.32%,1.59%,-0.32%,-0.32%,-1.89%,1.29%,5.67%,5.67%,5.67%,3.67%,0.00%,0.00%,-68.59%,-68.55%,-68.55%,-68.52%,-2.15%,-2.25%,-2.25%,-11.60%,-10.05%,-13.63%,-14.01%,-5.11%,65.65%,40.90%,48.56%,60.23%,-29.65%,56.34%,27.97%,-13.58%,,-31.81%,-28.10%,,,,,,
Retained Earnings,-4726000000,4339000000,8242000000,-214000000,1408000000,4336000000,3240000000,-3068000000,5289000000,12712000000,14435000000,5562000000,9233000000,15261000000,14301000000,14966000000,24136000000,33182000000,43977000000,45898000000,53724000000,64558000000,80510000000,70400000000,79436000000,91898000000,104593000000,98330000000,98525000000,100925000000,100001000000,96364000000,96542000000,102021000000,101494000000,92284000000,98252000000,100920000000,97178000000,87152000000,98715000000,98934000000,109431000000,104256000000,104564000000,116572000000,109567000000,101289000000,95641000000,87124000000,75709000000,62841000000,56239000000,49025000000,43050000000,37169000000,32870000000,29670000000,26695000000,23353000000,17878000000,16653000000,15448000000,15129000000,12714000000,11642000000,10684000000,9101000000,8199000000,7381000000,6611000000,5607000000,5065000000,4673000000,4570000000,3925000000,3575000000,3255000000,2965000000,2670000000,2564000000,2503000000,2457000000,2394000000,2350000000,2331000000,2317000000,2325000000,2370000000,2338000000,2298000000,2260000000,2194000000,2133000000,2090000000,2285000000,2115000000,1915000000,1682000000,1499000000,1388000000,1185000000,1050000000,898000000,792000000,691000000,636000000,589000000,750000000,806000000,1514000000,1634000000,1609000000,1641000000,2380000000,2464000000,2419000000,2331000000,2270000000,2096000000,1995836000,,1868660000,1842600000,,
Comprehensive Income,-8416000000,-8960000000,-9378000000,-11452000000,-11801000000,-11746000000,-12912000000,-11109000000,-9297000000,-6494000000,-927000000,163000000,58000000,-286000000,179000000,-406000000,-550000000,-2789000000,-418000000,-584000000,-639000000,-1499000000,-3588000000,-3454000000,-3111000000,-3064000000,-841000000,-150000000,-545000000,-422000000,245000000,634000000,-107000000,-1048000000,-1480000000,-345000000,1098000000,2710000000,1963000000,1082000000,86000000,-251000000,-306000000,-471000000,-234000000,964000000,612000000,499000000,532000000,524000000,384000000,443000000,389000000,126000000,114000000,-46000000,108000000,125000000,111000000,77000000,53000000,15000000,69000000,-9000000,77000000,69000000,74000000,63000000,56000000,32000000,23000000,22000000,16000000,-5000000,-5000000,0,9000000,6000000,-3000000,-15000000,-18000000,-10000000,-31000000,-35000000,-19000000,-36000000,-40000000,-49000000,-104000000,-62000000,-28000000,-22000000,3000000,6000000,41000000,244000000,535000000,731000000,1237000000,106000000,92000000,168000000,86000000,-39000000,0,0,0,0,0,0,0,0,-12000000,-5000000,10000000,0,53000000,44000000,-17000000,0,-15474000,,-26509000,-19835000,,
Shareholders Equity,66708000000,74194000000,74100000000,62146000000,60274000000,62158000000,56727000000,50672000000,58107000000,67399000000,71932000000,63090000000,64280000000,69178000000,66224000000,65339000000,72282000000,78425000000,89531000000,90488000000,96456000000,105860000000,117892000000,107147000000,114949000000,126878000000,140199000000,134047000000,132425000000,134082000000,132390000000,128249000000,126541000000,130457000000,128267000000,119355000000,125677000000,129006000000,123328000000,111547000000,120940000000,120179000000,129684000000,123549000000,123354000000,135490000000,127346000000,118210000000,111746000000,102498000000,90054000000,76615000000,69343000000,61477000000,54666000000,47791000000,43111000000,39348000000,35768000000,31640000000,25888000000,24311000000,22909000000,22297000000,19622000000,18053000000,16804000000,14532000000,13404000000,12261000000,11228000000,9984000000,9330000000,8682000000,8380000000,7428000000,6821000000,6386000000,5790000000,5076000000,4812000000,4490000000,4330000000,4223000000,4198000000,4139000000,4116000000,4095000000,4066000000,4014000000,3966000000,3920000000,3858000000,3738000000,3712000000,4107000000,4176000000,4215000000,4414000000,3104000000,2970000000,2175000000,1923000000,1642000000,1486000000,1388000000,1244000000,1200000000,1196000000,1242000000,1942000000,2058000000,2020000000,2056000000,2794000000,2901000000,2828000000,2714000000,2562000000,2383000000,2245115000,,2053259000,2026378000,,
Net Cash / Debt,51737000000,57747000000,64535000000,51011000000,57263000000,56718000000,54340000000,49040000000,59617000000,72749000000,79798000000,65797000000,71853000000,82728000000,83528000000,79394000000,80894000000,83337000000,98769000000,97851000000,102192000000,112781000000,130305000000,122617000000,129143000000,145386000000,162697000000,153215000000,153177000000,158319000000,158541000000,150553000000,146585000000,153056000000,152776000000,141338000000,148430000000,149668000000,141552000000,119944000000,133450000000,133627000000,141881000000,129801000000,129662000000,144687000000,137112000000,121251000000,117221000000,110176000000,97601000000,81570000000,76156000000,65767000000,59707000000,51011000000,45839000000,41704000000,39820000000,33992000000,31121000000,28878000000,28145000000,24490000000,20774000000,19448000000,18448000000,15386000000,13767000000,12577000000,11869000000,10110000000,9176000000,8226000000,8707000000,8261000000,7526000000,7057000000,6448000000,5464000000,4966000000,4594000000,4489000000,4262000000,4238000000,4216000000,4170000000,4021000000,4038000000,4077000000,4153000000,4147000000,4047000000,3978000000,4201000000,4513000000,4762000000,4853000000,5500000000,3265000000,2806000000,1967000000,1624000000,1346000000,1040000000,847000000,651000000,483000000,152000000,374000000,677000000,610000000,223000000,-63000000,298000000,188000000,967000000,1055000000,1074000000,661000000,407871000,,370518000,62004000,,
Net Cash / Debt Growth,-9.65%,1.81%,18.76%,4.02%,-3.95%,-22.04%,-31.90%,-25.47%,-17.03%,-12.06%,-4.47%,-17.13%,-11.18%,-0.73%,-15.43%,-18.86%,-20.84%,-26.11%,-24.20%,-20.20%,-20.87%,-22.43%,-19.91%,-19.97%,-15.69%,-8.17%,2.62%,1.77%,4.50%,3.44%,3.77%,6.52%,-1.24%,2.26%,7.93%,17.84%,11.23%,12.00%,-0.23%,-7.59%,2.92%,-7.64%,3.48%,7.05%,10.61%,31.32%,40.48%,48.65%,53.92%,67.52%,63.47%,59.91%,66.14%,57.70%,49.94%,50.07%,47.29%,44.41%,41.48%,38.80%,49.81%,48.49%,52.56%,59.17%,50.90%,54.63%,55.43%,52.19%,50.03%,52.89%,36.32%,22.38%,21.92%,16.57%,35.03%,51.19%,51.55%,53.61%,43.64%,28.20%,17.18%,8.97%,7.65%,5.99%,4.95%,3.41%,0.41%,-3.04%,-0.22%,2.49%,-1.14%,-8.11%,-15.01%,-18.03%,-23.62%,38.22%,69.71%,146.72%,238.67%,142.57%,169.81%,132.23%,149.46%,178.67%,584.21%,126.47%,-3.84%,-20.82%,-31.84%,,127.18%,224.47%,-76.94%,,-72.25%,-71.56%,137.08%,,189.86%,966.06%,,,,,,
Net Cash Per Share,3.37,3.73,4.14,3.25,3.63,3.58,3.41,3.04,3.67,4.44,4.83,3.96,4.28,4.89,4.88,4.60,4.64,4.73,5.54,5.41,5.55,6.00,6.82,6.32,6.55,7.17,7.89,7.39,7.32,7.52,7.44,6.98,6.70,6.91,6.83,6.22,6.43,6.41,6.02,5.02,5.51,5.43,5.62,5.10,5.01,5.46,5.17,4.57,4.42,4.16,3.70,3.10,2.90,2.51,2.29,1.96,1.77,1.61,1.55,1.33,1.22,1.14,1.12,0.97,0.82,0.77,0.73,0.61,0.55,0.51,0.48,0.41,0.37,0.33,0.36,0.34,0.31,0.29,0.27,0.24,0.23,0.22,0.22,0.21,0.21,0.21,0.21,0.20,0.20,0.20,0.21,0.21,0.20,0.20,0.22,0.22,0.24,0.24,0.28,0.17,0.14,0.10,0.08,0.07,0.05,0.05,0.04,0.03,0.01,0.03,0.05,0.04,0.02,0.00,0.02,0.01,0.07,0.08,0.08,0.05,0.03,,0.03,,,
Working Capital,-6189000000,4594000000,9719000000,-1742000000,-2304000000,-7162000000,-8509000000,-18577000000,-17581000000,-9328000000,5580000000,9355000000,6669000000,15080000000,21599000000,38321000000,44747000000,47659000000,61070000000,57101000000,45269000000,29574000000,32545000000,15410000000,27213000000,40733000000,28022000000,27831000000,31573000000,28648000000,19202000000,27863000000,22275000000,19327000000,127000000,8768000000,5668000000,9162000000,9792000000,5083000000,21744000000,27333000000,26578000000,29628000000,31900000000,27829000000,25469000000,19111000000,18883000000,18676000000,20164000000,17018000000,20039000000,22670000000,20132000000,20956000000,20421000000,20107000000,20235000000,20049000000,18509000000,20102000000,20406000000,18645000000,18780000000,17102000000,15654000000,12676000000,11753000000,10544000000,9327000000,8066000000,7468000000,6830000000,7102000000,6813000000,6253000000,5655000000,5098000000,4404000000,4131000000,3804000000,3647000000,3530000000,3521000000,3461000000,3789000000,3730000000,3725000000,3705000000,3693000000,3625000000,3634000000,3550000000,3289000000,3494000000,3284000000,3059000000,2944000000,2736000000,2759000000,2548000000,2383000000,2178000000,1986000000,1829000000,1704000000,1606000000,1583000000,1631000000,2375000000,2512000000,2528000000,2004000000,2846000000,2899000000,3013000000,2918000000,2783000000,2532000000,2342502000,,1879846000,1830270000,,
Book Value Per Share,4.36,4.82,4.78,3.98,3.84,3.94,3.57,3.16,3.60,4.14,4.39,3.83,3.87,4.13,3.91,3.83,4.19,4.50,5.07,5.04,5.28,5.66,6.22,5.58,5.89,6.31,6.86,6.51,6.37,6.41,6.25,5.97,5.81,5.91,5.77,5.28,5.48,5.57,5.28,4.70,5.03,4.91,5.17,4.88,4.80,5.15,4.84,4.50,4.26,3.92,3.45,2.95,2.67,2.38,2.12,1.87,1.69,1.55,1.41,1.26,1.03,0.97,0.92,0.90,0.79,0.73,0.69,0.60,0.55,0.51,0.47,0.42,0.39,0.37,0.36,0.32,0.30,0.28,0.26,0.24,0.23,0.22,0.21,0.21,0.21,0.21,0.21,0.20,0.20,0.20,0.20,0.20,0.20,0.19,0.20,0.22,0.23,0.23,0.25,0.18,0.18,0.14,0.13,0.11,0.10,0.09,0.09,0.08,0.08,0.09,0.14,0.15,0.15,0.15,0.20,0.21,0.21,0.20,0.19,0.18,0.17,,0.16,0.15,,
